Title,ReleaseYear,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3
Looking,2014,"Tiburon Hiking Trail, Tiburon, CA",null,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
The Last Black Man in San Francisco,2019,"Sunset Super, 2425 Irving St",null,"LBMISF, LLC",A54,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
San Andreas,2015,Bay St. at Polk,null,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,null,null
"Budding Prospects, Pilot",2017,40 Prentiss Street,null,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
Copycat,1995,82 & 67 Rico Way (Marina District),null,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,null
So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),null,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,null
The Game,1997,Ritz-Carlton Hotel (600 Stockton Street),null,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
Jagged Edge,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote
True Believer,1989,null,null,Columbia Pictures Corporation,Columbia Pictures,Joseph Ruben,Wesley Strick,James Woods,"Robert Downey, Jr.",null
The Last Black Man in San Francisco,2019,"Portola Rose Garden, 598 Hamilton St at Woolsey St",null,"LBMISF, LLC",A46,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
"Murder in the First, Season 3",2016,Harriet Alley,null,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Sense8 - Season 2,2016,Washington between Stockton and Kearny,null,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
High Crimes,2002,Chase H & Q  (1 Bush Street at Sansome),null,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,null
Sense8,2015,16th St.,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,null,null
Tales of the City,2019,"City Lights Books, 261 Columbus Ave",null,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
The Core,2003,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",David Foster Productions,Paramount Pictures,John Amiel,Cooper Lane,Aaron Eckhart,Hilary Swank,null
Nine Months,1995,60 Spear Street,null,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
Etruscan Smile,2017,California Street between Sansome & Davis,null,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
A Taiwanese Tale of Two Cities,2018,2751 Mission St,null,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
Summertime,2015,Montgomery between California and Pine,null,"Creative Monster Productions, Inc.",11 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
Sense8 - Season 2,2016,"The Women's Building, 3543 18th St.","The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
The OA Part II,2019,Duncan St at Diamond Heights,null,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
The OA Part II,2019,Washington at Taylor St - Jackson St,null,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
Godzilla,2014,Pine St. & Davis St,null,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Americana,2015,Coi Restaurant (373 Broadway),null,Sutro Films LLC,null,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
The OA Part II,2019,Ada Court at O'Farrell St,null,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
Star Trek IV: The Voyage Home,1986,Kearny & Pacific Streets,null,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
Chance Season 2,2017,Presidio Heights Neighborhood,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Sudden Impact,1983,"Near Point Lobos, El Camino Del Mar",null,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,null
The Presidio,1988,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan
Basic Instinct,1992,Hall of Justice (850 Bryant Street),null,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
The Game,1997,Merchant Exchange Building (465 California Street),null,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
Basic Instinct,1992,Pier 7 (The Embarcadero),null,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
Sense8 - Season 2,2016,Green between Kearny and Montgomery,null,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
Looking Season 2 ep 205,2015,"Always Open Car Wash, 2560 Marin Street",null,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer
Sense8,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,dialogue scene,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,null,null
"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street,null,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
Americana,2015,Foreign Cinema (2534 Mission),null,Sutro Films LLC,null,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),null,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
The Diary of a Teenage Girl,2015,Victoria Theatre,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,SPECS' Twelve Adler Museum Café,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Ocean Beach at Point Lobos,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,700 Kansas St.,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Presidio Branch Library,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,The Royal Oak,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Tonic,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Polk and Northpoint St.,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,770 Haight St.,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Tank Hill Park,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Hamburger Haven,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,304 Lily St.,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Geary St. from Polk to Larkin,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Diary of a Teenage Girl,2015,Yerba Buena Island,null,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
The Doctor,1991,null,null,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,null
The Doors,1991,null,null,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,null
The OA Part II,2019,Mission Rock at 3rd St,null,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
"Looking ""Special""",2016,"The Stud, 399 9th Street",null,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Freebie and the Bean,1974,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,null
Looking,2014,Castro St. from Market to 18th St.,null,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
About a Boy,2014,Powell from Bush and Sutter,null,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,null
Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),null,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
"Smile Again, Jenny Lee",2015,Greenwich St at Battery St,null,Carlo Caldana/Marguery Films,null,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
Magnum Force,1973,Embarcadero Freeway,demolished,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
The OA Part II,2019,SF War Memorial Opera House,null,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),null,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,null
Need For Speed,2014,Powell St. from Geary to Sacramento,null,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots
Hemingway & Gelhorn,2011,Muni Metro East (501 Cesar Chavez),null,"Attaboy Films, For Whom Productions, Home Box Office (HBO)",Home Box Office (HBO),Philip Kaufman,Jerry Stahl & Barbara Turner,Nicole Kidman,Clive Owen,null
Pal Joey,1957,"Spreckels Mansion (2080 Washington Street, Pacific Heights)",null,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
Boys and Girls,2000,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,null
The Bachelor,1999,Pacific Stock Exchange (301 Pine Street at Sansome),null,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,null
Twisted,2004,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,null
When We Rise,2017,440 Castro St.,null,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
The Dead Pool,1988,Pierce St. & Golden Gate Avenue (Hayes Valley),null,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
Tales of the City,2019,Dolores Park,null,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
Venom,2018,Grant Ave at Green St,null,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
The Love Bug,1968,100 Block of Lombard Street,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson
San Andreas,2015,Pier 43,Bystanders watch as a tsunami crashes over them,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,null,null
Blue Jasmine,2013,303-305 S. Van Ness,null,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
The Assassination of Richard Nixon,2004,"Tosca Café (242 Columbus Avenue, North Beach)",null,Anhelo Productions,THINKFilm,Niels Mueller,Niels Mueller & Kevin Kennedy,Sean Penn,Naomi Watts,null
Star Trek IV: The Voyage Home,1986,North Beach,null,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
Getting Even with Dad,1994,140 Maiden Lane,null,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,null
Vegas in Space,1992,3567 18th Street,null,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
Chance- Season 1 ep102,2016,Mason and Pacific,null,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee
Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),null,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,null
Vertigo,1958,Mission San Juan Bautista (2nd & Mariposa Streets),null,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
The Internship,2013,Grant Ave from Sacramento to Clay,null,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
The Internship,2013,Montgomery and Union St.,null,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
The Internship,2013,Epic Roasthouse,null,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
The Internship,2013,Players Arcade at Pier 39,null,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne
Pushing Dead,2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street",null,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
Age of Adaline,2015,Plate Shots SF streets various,null,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,null,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
Big Eyes,2014,Saints Peter & Paul Church,null,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
Fathers' Day,1997,null,null,Northern Lights Entertainment,Columbia Broadcasting System,Ivan Reitman,Lowell Ganz,Robin Williams,Billy Crystal,null
Chance Season 2,2017,Embarcadero between Bay and Chestnut St,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
Jade,1995,Fior d' Italia (601 Union Street at Stockton),null,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
Chance- Season 1 ep108,2016,1000 Mason St.,null,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee
Terminator - Genisys,2015,Sutter Stockton Garage,null,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,null
Vertigo,1958,Ernie's Restaurant (847 Montgomery Street),"Called the ""Essex Club"" in the film.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
Nine Months,1995,"101 Henry Adams Place, 4th Floor",null,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
Vegas in Space,1992,Corona Heights Park,null,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",null,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,null
Nine Months,1995,Alamo Square,null,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
Chance Season 2,2017,Embarcadero at Lombard St.,null,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),null,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler
Invasion of the Body Snatchers,1978,Pier 33 (Embarcadero),null,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
"Smile Again, Jenny Lee",2015,Hyatt Hotel (555 North Point St.),null,Carlo Caldana/Marguery Films,null,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
Crackers,1984,24th Street between Mission Street and Potrero Avenue,null,Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Jack Warden,Sean Penn
Chance - Season 1 Pilot,2016,"Warren's Antiques, 375 9th St.",null,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
Americana,2015,Palace of Fine Arts,null,Sutro Films LLC,null,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
Foul Play,1978,Sutter & Buchannan Streets,null,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
When a Man Loves a Woman,1994,Cybelle's Pizza (1000 Bush Street),null,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,null
Cardinal X,2015,119 Utah,null,Fire Horse Film Productions LLC,null,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode
The Candidate,1972,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Redford-Ritchie Productions,Warner Bros. Pictures,Michael Ritchie,Jeremy Larner,Robert Redford,Peter Boyle,null
So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",null,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,null
The Enforcer,1976,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
The Game,1997,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street",null,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
Ant-Man and the Wasp,2018,490 Geary St,VFX Plate Shots,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
Dim Sum: A Little Bit of Heart,1985,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",CIM,Orion Classics,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong
The Other Sister,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,null
The Other Sister,1999,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,null
The Rock,1996,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,null
The Last of the Gladiators,1988,null,null,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,null,null
Chance- Season 1 ep107,2016,60 Potomac,null,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
The Parent Trap,1998,Administration Building (Treasure Island),"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Walt Disney Pictures,Buena Vista Pictures,Nancy Meyers,Nancy Meyers,Lindsay Lohan,Dennis Quaid,null
Dream with the Fishes,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",3 Ring Circus Films,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette,Brad Hunt,null
Babies,2010,null,null,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,null
Vertigo,1958,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
